app,category,sentiment,summary
sunwai,APP#FEATURES,negative,I was Happy to see this App. But When I was looking for HBL KONNECT option. It was not present there. They closed my complaint without solving it and status shows it is resolved. There is no way to change the email address.
sunwai,APP#FEATURES,positive,I issued a complain about account hold .. they took action abruptly. very helpful app for everyone. best app best people thank u govt pak nd thnk u un logo.
sunwai,APP#GENERAL_EXPERIENCE,negative,seems useless
sunwai,APP#GENERAL_EXPERIENCE,positive,very helpful
sunwai,APP#PERFORMANCE,negative,I am unable to login after sing up. Can app developer help me. sunwai portal is not working very bad app there is no out look even no scroll to see full content worst app... and also no any response...just clos3 the complaint without information...
sunwai,APP#PERFORMANCE,positive,I am unable to login after sing up. Can app developer help me. I'm unable to share screen shot in review.
sunwai,BIOMETRIC#LOGIN_ISSUES,negative,Unable to reset my password since
sunwai,BRANCH_SERVICE,negative,Assalamu Alaikum complained three times but received no response. He asked for the SUNWAI APP to be used to solve his problem.
sunwai,CUSTOMER_SUPPORT,negative,"There is no way to change the email address. I accidentally put wrong email and now the app not allowing me to change email address, says user"
sunwai,CUSTOMER_SUPPORT,positive,We can't complain against branchless banking
sunwai,ENVIRONMENT_FEEDBACK,positive,very bed
sunwai,LOCATION_FEEDBACK_MISC,negative," bakwas hai sara masala hall ni krtay direct ap ki complain drop kr k msg krtays solve hogaya halank wo usitarah pending Chal Raha HOTA hai. Please add missing UBL branch Wah Model Town, GT Road"
