app,category,sentiment,summary,aspects,opinions
Al Habib,APP#DESIGN_FEEDBACK,negative,"10 characters 20 symbols what is this yar phir open b nhn hota I'm trying to change my password but it keeps giving me errors about password length, or number or digits. this and that. so i know them. how would i know what r the requirements to create a password if you never tell them to the user? do you guys not know your own customers??","yar phir open b nhn hota, password",
Al Habib,APP#DESIGN_FEEDBACK,positive,In transfer option to other bank kindly add light transfer digits. When I select other bank name then automated display light ( 14 digits account No.) just like BAHL 17.,transfer option to other bank,add light transfer digits
Al Habib,APP#FEATURES,neutral,Just an average banking application. Requires a lot of improvement. Good attempt for banking app but take a hint from your other peers. Please add some effort on user friendliness and availability of service.,"banking application, Bakwas application h, banking app, app, account","average, Good, Log in"
Al Habib,APP#GENERAL_EXPERIENCE,neutral,Al Habib digital Bink,bink,
Al Habib,APP#GENERAL_EXPERIENCE,positive,I can get some rest today and I'll come get you tomorrow to see if I can find a pimple ok. I have good experience. I think it's just wanted you can do that if that is okay sister is okay. I try first time I hope this very well I want to be very well and mother Best for any busines man Very good.,"pocket, experience, Fit, u, Biomatric, luck","recommended, Good experience, poorly, nice, better, useful, good, well, Not bad, excellent, simple, great, Best, Nice, Wonder"
Al Habib,APP#PERFORMANCE,positive,"I always have issues when I use your online banking application. It's too slow and sometimes doesn't work properly, like not opening despite trying again and again. I'm sorry to say that I also use the Meezan Bank Application, which is very fast and simple. Your IT professionals must focus on making it better.","BAHL, application, easypaisa application, App, UI, app, installing, Save Receipt option, app performance, Application Ui, digital banking app, app loading speed, problams, bank al habib mobile app, meezan Bank Application, Visible improvements, HBL App installation","good experience, Good experience, fast, easy, Solve, Please Enter, useful, helpful, smooth, Please Upgrade, visible, take only few seconds, Top Class, Helpful, supporting, awsome, amazing, improving, good, improved, perfectly, Safe n secure, improve, better, Good, working"
Al Habib,APP#PRICING_FEEDBACK,negative,Such a cheap app and poor system. 3rd class app and operating system. Never work on time whenever an urgent matter,app,cheap
Al Habib,APP#USABILITY,positive,Very easy to use and futuristic Very good very easy to used I hv been using it for around 6 months or more n found it too helpful in transferring amount n work too good without any issues.,,"helpful, good, easy, Secure"
Al Habib,APP#USABILITY_FEATURES,negative,"Al Habib Mobile app offers a convenient banking experience for customers of Al Habib Bank. It provides features like account management, fund transfers, bill payments, and transaction tracking with a user-friendly interface. The app ensures secure and efficient banking on the go. However, users may occasionally face issues with app performance or customer support.","meezan aap, e receipts, Application, app, UI, user interface, biometric feature","not user friendly, Enhance, not a user-friendly, Pathetic, not a user friendly, out dated, hard to use, low user friendly, secure and efficient banking on the go"
Al Habib,APP#USABILITY_FEATURES,neutral,How to delete transactions from this app. I want to delete my,app,delete
Al Habib,APP#USABILITY_FEATURES,positive,"Al Habib Mobile app offers a convenient banking experience for customers of Al Habib Bank. It provides features like account management, fund transfers, bill payments, and transaction tracking with a user-friendly interface. The app ensures secure and efficient banking on the go. However, users may occasionally face issues with app performance or customer support.","bank apps, application, meezan bank app, App, Al Habib Mobile app, app","easy to use, satisfied, Update, ausome, use this, useful, good, Simple, convenient banking experience, user friendly, easy"
Al Habib,ATM_SERVICE,negative, transaction history is horrible. No details of sender no details of bank just telling amount now you should upgrade this. Very slow and main problem is transaction history.,"transaction history, bank","horrible, no details"
Al Habib,BANK_REPUTATION,positive,Meezan bank use krte ho ge. Intehai ghatiyaa aap hai. Bank,Bank farigh logo,
Al Habib,BIOMETRIC#GENERAL,negative,Ab tu biometric pr ruk jatti hy login he ni ho rhe bakwas fed up jab ap aik tech ko proper validate ni kr skty tu q rakh det,biometric,fed up
Al Habib,BIOMETRIC#GENERAL,positive,Good scarves 😊😄😄,scarves,Good
Al Habib,BIOMETRIC#LOGIN_ISSUES,negative,"Before setting biometric verification on your app, all was smooth! And now my fingerprints are always said to mismatch, shows error, and I'm unable to login or carry out anything! 2 star!","Password reset, fingerprints, balance checking","problem, awful"
Al Habib,BIOMETRIC#PERFORMANCE,negative,"I am trying to login in iphone 16 Pro, but four finger biometric is not working. When I called the helpline, it was said that there is a problem with your mobile. They have no other option to login. As I am currently overseas, It's really becoming difficult to cope with this Your IT team's attention to this matter will be very great.","bugs, biometric scanning feature, finger recognition system, Fingers, biometric verification screen, Biomatric system, four finger biometric, biometric feature","too much, not working, fails to recognize, Stuck, disgusting, issue"
Al Habib,BIOMETRIC#PERFORMANCE,positive,Fix ur bugs,bugs,Fix
Al Habib,BRANCH_SERVICE,positive,Best ever banking experience since 1 year of using of net banking and all other services compare to other banks in Pakistan. Online banking app is good. Branch is exceptional. Electronic banking and Credit card service is the worst of the work and pathetic service. If you want to jave a continuous pain in your... Life then welcome Amazing your services.,"banking experience, Branche, experience, work, security, service, staff, Bank al habib, job, Bank Al Habib, services","love, Great good, commendable, Well, Amazing, 3rd class, helpful, Good work, outstanding, exceptional, Compare, Good, great, Best, Third class, Easy"
Al Habib,CUSTOMER_SUPPORT,neutral,I have the banking,banking,
Al Habib,CUSTOMER_SUPPORT,positive,This is frustrating process and not for professional it is completely wasting of time. Please compare other banks app like meezan bank. Bank Al Habib is a good bank but one problem is that its features are very difficult. The whole point on online banking is to make the process fast and convenient. I am definitely gonna stop using this bank from now on.,"fozal bank, alhabib Bank, AL HABIB BANK, pakistan al Habib bank, online banking, My Favorite Bank, security service, net banking, Bank Al Habib, e statment, dene ki waja mera account hai is bank mein, online banking alhabib, Bank, Bank al habib, meezan bank, customer, bank of pakistan, wht certificate balance certificate, Mazakh banadia banking, Ghtiya tareen ap ghtiya tareen bank, biometric system, debit card issuence option, bank, Bank-AlHabib, fingerprint services, bekar bank he koi facilities","good experience, Great job, Good experience, best, need to improve their, comparing, exelent, Excellent, 3rd class, secure, Favorite, nice, good, provide, like, fast and convenient, Compare, Good, Best"
Al Habib,DELIVERY_RELATED_FEEDBACK,negative,Al Habib ATM doesn't allow cash deposit. I send payment but uts not showing in fund history means no receipt available in history. What's the reason behind this? Aren't all Al Habib ATMs configured for cash deposit?,"payment, Al Habib ATM",disappointing
Al Habib,DELIVERY_RELATED_FEEDBACK,positive,CNN.com,transfer money,Easy
Al Habib,DEVICE#PERFORMANCE,negative,"I am trying to login in iphone 16 Pro, but four finger biometric is not working. When I called the helpline, it was said that there is a problem with your mobile. They have no other option to login. Crashing while opening Not working properly and having no options to understand Biometric issues.","phone, performance, maintain, Performance, device, biometric, process, working properly, iphone 16 Pro, samsung s8, Bed experience, essu, it, IT department, laagy","Crashing, Not working properly, trying to login, error, Unable to add finger prints, hang, Not working, not registering easily, hanging, errors, frustrating, slow, crashing, stucks, poor, better, poor performance, bad, difficult"
Al Habib,DEVICE#PERFORMANCE,positive,"Great app and good working Good 👍 working Nice good performance Its working great... It's working fine, but sometimes it stucks..... its working good.","working, performance, working fine, cystomer","better, good, Good, fine, great"
Al Habib,ENVIRONMENT_FEEDBACK,negative,Unfriendly staff. Pathetic ATM machines 10 years old method of dealing with customers. Card always stucks in machine .. and staff is never ready to take any action.,ATM machines,pathetic
Al Habib,LIGHTING_OR_LOCATION_ISSUE,negative,The date of birth is 45. The place of death is 45 miles from the birth place. The age of the child is 45 years and 45 years.,Date of birth,
Al Habib,LOCATION_FEEDBACK_MISC,neutral, where is nfc Hmm l,"loo c by, nfc",Hmm
Al Habib,LOCATION_FEEDBACK_MISC,positive,Vijay Kumar chumrani Good for ues Verey good I like it Masla a ja ha bar bar Veri naic benk Very good expere,"Masla a ja ha bar, Nayat he baqwat hy, ues, Verey, Bilal Ali gJy, Vijay Kumar chumrani, expereince, Veri naic benk","bar, good, Good"
Al Habib,LOGIN_SECURITY_ISSUES,negative,Always says incorrect pasaaword,pasaaword,incorrect
Al Habib,MISC#APP_FEEDBACK,positive,Al habib good bink,"bink, trash","good, total peace"
Al Habib,Miscellaneous,negative,Bank al Habib has poor IT banking system and all online google / app are worst quality. More improved but heavy size may cause loading on small memory mobile phones. Unfriendly staff.. Pathetic ATM machines 10 years old method of dealing with customers. Card always stucks in machine and staff is never ready to take any action... -0*,"card, processing, online google / app, memory mobile phones, sender, ssl pinning","stucks in machine, worst quality, slow, impressed, failed, no details"
Al Habib,SCREEN#GENERAL_FEEDBACK,negative,Very bad experience becz when I put my date of birth it shows me that you have intered wrong date. on the other hand I wrote it correct..,date of birth,bad
Al Habib,SCREEN#ISSUES,negative, Login Biometric not working. It displays black screen with continueously loader in Hot 30 Play. Can't get passed biometric screen! It needs to be resolved. What if someone's phone's camera is not working??? Then how to use this app?? After some tries without camera you block the user name!!? Very bad experience.,"biometric screen, phone's camera, screen, mobile screen","error message, Can't get passed, bad"
Al Habib,SUPPORT#PERFORMANCE,negative,Despite updating to latest version it sends OTP very very late. Unable to activate e commerce on debit card using debit management.,e commerce on debit card,Unable to activate
Al Habib,SUPPORT#PERFORMANCE,positive,It is fast,bank channel,fast
Al Habib,SYSTEM#DESIGN_FEATURES,negative,"This is perhaps the most pathetic banking app you'll ever use. After every week, I get 4 messages within a minute that login attempt was unsuccessful, when I'm not even using my mobile. Then it gets locked and I have to call customer service every week to get it unlocked. Don't Ever Use This, You'll Regret.",interface,poorly designed
Al Habib,SYSTEM#PERFORMANCE,negative,This is worst banking app of Bank al Habib. It never works on my mobile and each time i need to uninstall it and again install then it works. BAHL has poor IT banking system and all online google / app are worst quality. Out of 10 i may give my rating 1 or less.,"performance, IT banking system, device cooling time",poor
Al Habib,SYSTEM_UI,negative,"Such a cheap app and poor system. 3rd class app and operating system. Never work on time whenever an urgent matter Worst UI, worst app, hard to use. If there are any negative markings I would go for that.","system, UI, OS","Worst, poor"
